,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
847,False,/q1M6vmRffE5rb5z6MjZMZ9PmRor.jpg,"[35, 10770]",432639,de,Die Firma dankt,"Just now, Adam Krustenstern was the recognized head of the development department of his company, but it was taken over by a global player. A wave of dismissal swept away most of his colleagues. But Adam was invited to the company's guesthouse for a weekend. It seems to be about his professional future. But target agreements or requirement profiles are not mentioned. For relaxation and holidays. But also from Challenge and High Engagement. Adam is under pressure to prove what he can do. But whom? And how? Nothing of what he has represented so far seems to mean something.",0.776,/yeDHiscNRehgZCd1tzlN5gCkxGQ.jpg,2017-04-01,Die Firma dankt,False,4.6,5
848,False,/oXfr4RVjvx0UZ4Vxp1eQ68WPLsW.jpg,"[37, 80, 53]",432641,en,Valley of Bones,A paleontologist gets a tip from an oil worker in the Badlands that may set her career back on track.,3.123,/yRaOLJumjzBq6xFNZMVZdnKlI0W.jpg,2017-09-01,Valley of Bones,False,5.1,10
849,False,/AoKhP4SSwQzV7LFl3pU5BxcmmKG.jpg,"[18, 36, 10770]",432643,de,Katharina Luther,"As a nun, Katharina von Bora lives the life destined for her until she comes into contact with a completely new world of thought in the early 20s through the writings of Martin Luther. She flees with some of her co-sisters and comes without legal status, without income and rejected by her family to Wittenberg, where she meets Martin Luther personally. Katharina decides to marry the reformer and, as his wife, becomes a respected housekeeper, an equal interlocutor and the mother of their children together.",1.165,/vl4rmiwNagyZnnIU3dyIfKvG9cV.jpg,2017-02-22,Luther and I,False,4.9,7
850,False,/ntj3TOo3s7UfLN0mb7tUh1AliJe.jpg,"[18, 10770]",432647,de,Das Leben Danach,,1.527,/hFpwmcQn0wlAsI29GsPzVYcbotT.jpg,2017-03-01,Das Leben Danach,False,5.1,8
851,False,,"[10770, 18]",432655,de,Kalt ist die Angst,,1.4,/xZycaQMZVXq5W6YKv3azHaKgQNc.jpg,2017-01-14,Kalt ist die Angst,False,5.4,8
852,False,/wQG1Ps0dmppS9wjpaNiMY30uklu.jpg,[80],432656,de,Kommissar Dupin - Bretonische Flut,Myths of the sunken city of Ys leads to the murder of a young couple.,1.838,/2juXl7GPK7Vg18vBNhhi8OdJ17g.jpg,2017-03-09,Inspector Dupin: Brittany's Tide,False,6.8,4
853,False,/f82zqTMdika7IJnBRJxuWL8A1kb.jpg,"[10770, 80]",432658,de,Kommissar Dupin - Bretonischer Stolz,An eccentric former actress finds a body which disappears into thin air.,1.246,/tQqOH8uepZH0hYEEunLZJZU1Jcq.jpg,2017-03-02,Inspector Dupin: Brittany's Pride,False,7.3,3
854,False,/uwp3I7SWj3o35opTK4ymytYgvpd.jpg,"[35, 18]",432660,de,Einmal bitte alles,"Isi doesn't get the world anymore. Just a short while ago, life was wild, fun, and without obligations, but suddenly everyone around her seems to be grown-up and successful. With her diploma in one hand and a drink in the other, she is stuck between the careless days of college and real life. When her best friend Lotte gets a respectable job and becomes pregnant, Isi realizes that she needs to find a way to start living a life on her own.",1.029,/uF2nhr7FSstaeO6asAvWmIQicu1.jpg,2017-07-20,Pretty Far from Okay,False,6.7,11
855,False,/nNsNoR5WY6accAhDN8Arn5FIiZp.jpg,[80],432664,de,Am Ruder,,0.878,/yLyeut04TcA1hl786OyeTN6IEIY.jpg,2017-06-07,Am Ruder,False,4.0,1
856,False,/lVEJK4JGxdcnfRmmwmSp8e0E3IB.jpg,"[35, 80, 10770]",432668,de,Allmen und das Geheimnis des rosa Diamanten,,1.039,/iDd1gq4OsjC6nvDXfbedm86D2a1.jpg,2017-05-06,Allmen and the Pink Diamond,False,6.0,4
857,False,/y8AS8PHlzT9oZ5L5osLJPPWUXO6.jpg,[35],432680,de,Fühlen Sie sich manchmal ausgebrannt und leer?,,1.884,/3F7or7LSsH02q0gKNHRs7E7PdIy.jpg,2017-06-24,Do You Sometimes Feel Burned Out and Empty?,False,4.8,6
858,False,/5TQ5xIMNwL6FFCDXKfoAc9fpaYs.jpg,[35],432681,de,Ellas Baby,"Baby belly or scholarship in the US - in Ella's Baby, the accidental pregnancy of a 16-year-old student turns the life of a patchwork family on its head. Tijan Marei plays the teenage girl whose ""first time"" messes up the already fragile family structure. In the role of her single father, who is planning to make a new offspring with his new girlfriend - played by Katharina Schüttler - Benno Fürmann can be seen. Director David Dietl tells the story in a humorous way, without losing sight of the seriousness of the topic.",1.129,/vc2ywkfuC2dloIiSNT2gRClEg4U.jpg,2017-10-13,Ellas Baby,False,6.0,1
859,False,/uQPVA98bIya8aRp2nrQPdRpNME1.jpg,"[53, 10770]",432687,de,Der 7. Tag,The day begins like a nightmare: Sybille Thalheim wakes up in a strange hotel room with a bloodstained knife in her hand.,0.884,/rsOkoDjBQBIfLDjQoINXdshiCS1.jpg,2017-08-23,Der 7. Tag,False,6.1,7
