Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
1510,FALSE,/gdBumr0oYE43nTwkS7Cv5AUzRwm.jpg,"[53, 80, 9648]",429886,de,Berlin Falling,"Frank left his life as a soldier behind and wants to rebuild his life in Brandenburg. He is on his way to meet his daughter, Lily, after a long time of not seeing her. As he stops at a gas station he meets Andreas, who needs a ride to Berlin. Reluctantly, Frank agrees to take Andreas with him - unaware of the consequences.",4.546,/1CIiGNzWn5WLBpXv83jHa0exceU.jpg,13-07-17,Berlin Falling,FALSE,5.9,36,2331302,0,Germany,Thriller,tt5286432,2017
1517,FALSE,/vC0x4816uI8yHSLaCzjfdTTSDK1.jpg,"[28, 80, 18, 53]",484889,en,Rise of the Footsoldier 3,"Notorious gangster, Pat Tate, rises through the ranks of Essex's criminal underworld. A prequel to the 'Rise of the Footsoldier' franchise.",4.533,/1LgOIQNpTfWKY3wizRrQ6CvNAXK.jpg,03-11-17,Rise of the Footsoldier 3,FALSE,6.3,28,0,17000,United Kingdom,Action,tt6076226,2017
1525,FALSE,/hOryMZ4I8QGjTjsqGAkrLYwDMj8.jpg,"[99, 10752]",488740,ar,Of Fathers And Sons,"Talal Derki returns to his homeland where he gains the trust of a radical Islamist family, sharing their daily life for over two years. His camera focuses on Osama and his younger brother Ayman, providing an extremely rare insight into what it means to grow up in an Islamic Caliphate.",4.504,/9nY0ef1kCwu1fUG0mjBq3wWghu1.jpg,15-11-17,Of Fathers and Sons,FALSE,6.9,46,125000,0,Germany,Documentary,tt7519174,2017
1541,FALSE,/vRXnuHSS4T6VqsZA6j50NbOYyS3.jpg,"[35, 10751]",398947,fr,Le Petit Spirou,"Petit Spirou, like all his family before him, has a career destiny all traced. When his mother announces that he will integrate the grooms school at the beginning of the new school year, Petit Spirou, with the help of his friends, will take advantage of his last days of class to declare his love to Suzette. And no matter how. They decide to live an extraordinary adventure.",4.46,/pnofxR6iKomeHJIrKxWbeeBPaR.jpg,27-09-17,Little Spirou,FALSE,5.3,75,9850941,3503943,Belgium,Comedy,tt6194538,2017
1545,FALSE,/fNefgkrnYuXkKVq2bCYnZLBbHS0.jpg,[99],446173,en,Ex Libris: The New York Public Library,A documentary about how a dominant cultural and demographic institution both sustains their traditional activities and adapts to the digital revolution.,4.442,/5UAtolZFuOFYqUpHcDYamsVKWvb.jpg,13-09-17,Ex Libris: The New York Public Library,FALSE,6.4,54,0,151356,United States of America,Documentary,tt6209282,2017
1546,FALSE,/8suCBWV0Z5rc3CVfVn7pfNsi0JM.jpg,"[35, 10770, 10749]",446866,en,Like Cats & Dogs,"Spencer is a cat person. Laura is a dog person. Spencer is headed to a beach town to work on his thesis. Laura is coming to the same beach town to escape the shambles of her life. Their personalities couldn’t be more different, but when a reservation screw up lands them – and their pets – in the same vacation rental house, they all have to figure out how to get along with each other.",4.441,/m2c02VFjQsT11l6yu7coly10V8V.jpg,15-04-17,Like Cats & Dogs,FALSE,6.3,37,1800000,0,Canada,Comedy,tt6669590,2017
1556,FALSE,/lK0QUQVs8ywBZ0WSjDu9Qu1nciy.jpg,"[18, 9648]",442947,ru,Кроткая,"A woman lives in a small village in Russia. One day she receives the parcel she sent to her husband, serving a sentence in prison. Confused and angered, she sets out to find why her package was returned to sender.",4.41,/8EfNuERL9weFWblnMUabinB2Gwb.jpg,16-08-17,A Gentle Creature,FALSE,6.3,51,2240000,0,Germany,Drama,tt5618752,2017
1557,FALSE,/8m8Pjubr4JQ6F6mpUCc6T97JISH.jpg,[10751],447429,en,Robo-Dog: Airborne,"After an accident causes Robo-Dog to get lost and lose his memory, he is taken in by a new family. Tyler enlists the help of Barry as they scour the town in search of their missing robotic best friend.",4.409,/sBcvr3BgKOq4R6Ht1lEZH4QV4tS.jpg,04-05-17,Robo-Dog: Airborne,FALSE,6.9,8,0,40564,United States of America,Family,tt5198868,2017
1566,FALSE,/7EEQ9UZ7xIKozjDHGJLTz1nWHwa.jpg,[18],413762,en,The Levelling,Clover is finishing a veterinary course when her brother dies and she is called home to her family's struggling Somerset farm.,4.382,/tLp1mJMvoeQm1xKxQUzja8swRua.jpg,12-05-17,The Levelling,FALSE,6.2,47,1282545,0,United Kingdom,Drama,tt5158522,2017
1567,FALSE,/lqqeFJi1KGtDO8XmoToGwd1hb13.jpg,"[16, 10751, 12, 35]",451044,fi,Muumien taikatalvi,"This winter is extraordinary; Moomintroll decides  to stay awake to explore the winter instead of hibernating as usually. And winters are certainly totally different than he had imagined. Strangest creatures wander amidst the snowdrifts; midwinter darkness surrounds the Moominvalley, and on top of that, an eccentric guest is soon to appear. This guest requires many measures, and is called Christmas, Hemulen tells to a surprised Moomintroll.",4.382,/sgfHfdM1EG9TA8XY2DG5kpVKcWK.jpg,23-11-17,Moomins and the Winter Wonderland,FALSE,5.6,14,0,853811,Poland,Animation,tt6315872,2017
1574,FALSE,/kjMEe7FoIwwPH3mC6vQP4O3EYz3.jpg,[35],428645,pt,Eu Fico Loko,The biography of the Brazilian YouTuber Christian Figueiredo.,4.364,/qAB1pfwi92gkblvL4gwoSRuNoSp.jpg,12-01-17,Eu Fico Loko,FALSE,7.8,79,2500000,0,Brazil,Comedy,tt5968964,2017
1575,FALSE,/n4qIdivRAPHFHavNvx9k9POnE71.jpg,[18],459959,en,And Then I Go,"Two teenage outsiders are demoralized daily at school, until an idea for vengeance offers them a terrifying release.",4.359,/bJz6BYvRf52CIJ4rVDPdy3h41ZA.jpg,16-06-17,And Then I Go,FALSE,6.3,30,1000000,0,United States of America,Drama,tt2018111,2017
1605,FALSE,/v8KlquORdr5Cpcz9KJ4wVjIhmFq.jpg,"[10770, 53, 18]",452964,en,Boyfriend Killer,A Grieving mother suspects that her son's ex-girlfriend may have been involved in his death.,4.298,/j5enSi93XW9gozDwXiYdsdoqRkc.jpg,08-01-17,Boyfriend Killer,FALSE,5.9,11,1000000,0,United States of America,TV Movie,tt5283754,2017
1612,FALSE,/1gO86bukJYgBGhaEabq7DHNQ9gt.jpg,[27],466169,en,Habit,"Manchester, the present. Michael divides his time between the job center and the pub. A chance meeting with Lee, an introduction to her Uncle Ian and a heavy night on the lash lead to a job working the door at a Northern Quarter massage parlor. After witnessing the violent death of one of the punters, Michael experiences blood-drenched flashbacks and feels himself being sucked into a twilight world that he doesn't understand but that is irresistibly attractive. When he eventually finds out what goes on in the room below Cloud 9, Michaels' life will never be the same again.",4.282,/9whArSgSl7PmoAsA9l65ldSkXTR.jpg,25-08-17,Habit,FALSE,5.3,27,1000000,0,United Kingdom,Horror,tt5240258,2017
1632,FALSE,/ssmjSDtQ2qI49evzLU8GY5PHKAC.jpg,"[18, 878]",364410,en,The White King,"Djata is a care-free 12-year-old growing up in a brutal dictatorship shut off from the outside world. When the government imprisons his father, Peter, and Djata and his mother Hannah are labeled traitors, the boy will not rest until he sees his father again.",4.228,/cmMQKG8ca4xZLy9BtpXMfLXoIR2.jpg,27-01-17,The White King,FALSE,5.4,37,2494400,0,Hungary,Drama,tt4211312,2017
