,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
794,4164,False,/A5xijWoIvN4gLNQgKQfQ1tlPh1I.jpg,"[28, 18, 878]",569815,en,Demonia Undertaker,An alien from another planet with great super powers comes to earth to destroy the whole human race by possessing their bodies. Alien bounty hunters Staleth is sent with Colinus to try to stop him before its too late.,1.524,/8b4oj8Ue8CkXKF9zfRo3QaZiAvw.jpg,15-12-17,Demonia Undertaker,False,7.0,1,500000,0,United States of America,Action,tt4851360,2017
795,4180,False,,[27],449882,en,Claw,"Three friends decide to get out of New York for a weekend break, only to find out that the sleepy up-state town of Swamp Hollow is really the hunting ground of serial killers.",1.518,/b1vbTIjDvKH4lvHZ20O9YSUOvUv.jpg,25-05-17,Claw,False,5.0,7,100000,0,United States of America,Horror,tt6355580,2017
796,4205,False,/4aZM93ixM7h0q02zpgLoDwzQXrp.jpg,"[35, 27]",638688,es,Aj Zombies!,"Claudia and Felipe can't be any more different. Only a zombie apocalypse could bring them together. A hilarious love story set in zombie times. Claudia, Felipe, a drunkard and a security guard must escape Lima together in search of safety.",1.507,/dNyoezgLnyVDuPqZloKrG6njlq7.jpg,10-10-17,Aj Zombies!,False,6.5,14,600000,0,Peru,Comedy,tt7592928,2017
797,4218,False,/r6qhmf8qxk0clqPoz6oejPr7xc3.jpg,[27],504169,en,Blood Moon River,"Eddie and his friends decide to take their cameras into the woods to debunk the legend of Blood Moon River, they soon realize that they may have bitten off more than they can chew. Their situation goes from bad to worse.",1.496,/6TnoPxRxdjFRS3xpDXOf4Fqa6hU.jpg,22-04-17,Blood Moon River,False,2.0,1,5000,0,United States of America,Horror,tt5925370,2017
798,4227,False,/c8DbqWKTwL9jmvEzVDswJgrMHgN.jpg,"[36, 18, 28]",434395,te,గౌతమిపుత్ర శాతకర్ణి,"The emperor of Satavahana kingdom, Satakarni comes across many challenges when he attempts to convince his wife that their son is bound to take part in battles and vanquish his enemies.",1.491,/8Mb7hg3zvrrMfJioJNivxK3NFP4.jpg,12-01-17,Gautamiputra Satakarni,False,4.6,9,6000000,12000000,India,History,tt5832544,2017
799,4240,False,/ed3Vmzsa0fpNn3L8JPC7l8cBQI2.jpg,"[35, 18, 9648, 53]",462030,ar,الأصليين,"Samir is the head of a small family and a bank employee and stable in his work, but separated after the decision to reduce the employment and then surprise that his bank balance zero and after days find a box with a mobile phone to meet a call changed his life by recruiting him  to spy on people through an organization called The Originals.",1.484,/7UvpK0RFYoOa3x4uqZmq8PPIu6O.jpg,25-06-17,The Originals,False,7.3,23,0,491712,Egypt,Comedy,tt6909846,2017
800,4247,False,/fhjXnIryat6MMLQcR64RT4N8uDv.jpg,"[28, 35]",443873,et,Sangarid,An upbeat comedy about three boys that escape from Soviet Estonia to Sweden via Finland in the 1980s to fulfill their dreams in the free world.,1.482,/aU9epzN27tSRvdHbAp2teQ69KBi.jpg,17-02-17,The Dissidents,False,6.6,6,1200000,0,Latvia,Action,tt6025806,2017
801,4254,False,,[99],478110,en,The Pathological Optimist,THE PATHOLOGICAL OPTIMIST takes us into the inner sanctum of Wakefield and his family from 2011- 2016 as he fights for his day in court in a little known defamation case against the British Medical Journal. Wakefield attempts to clear his name as the media-appointed Father of the Anti-vaccine movement.,1.478,/7IkCFolSHufL7PoDdrixelATnRE.jpg,29-09-17,The Pathological Optimist,False,8.5,2,0,11222,United States of America,Documentary,tt6391732,2017
802,4257,False,,[27],567898,en,Kill Teaser,"Based on True Events: An Asian American Hacker investigates a website that creates torture videos. He becomes the unwilling sidekick for the sinister mastermind behind it, who changes his life in horrible ways.",1.477,/f9gxdQJ4wtcQfRH8mEbcvWoK5JV.jpg,13-06-17,Kill Teaser,False,2.0,1,20000,0,United States of America,Horror,tt5754892,2017
803,4290,False,/n88IcYvlpIlYoadD4JYC2nnl3ip.jpg,"[99, 10402]",480338,sv,Winnerbäck - ett slags liv,"Lars Winnerbäck is one of Sweden's biggest artists for 15 years. At the same time he is one of those we know least about. Now Winnerbäck celebrates 20 years as an artist, despite barely filling 40. This documentary takes us closer to him than ever, while summarizing a musically unlikely career. But most of all, it gives an insight into an extremely complex human being, with all its weaknesses and characteristics reflecting an entire generation's feelings. In addition to Lars Winnerbäck is featured in the film Rolf Lassgård, Per Gessle and Melissa Horn. Director and producer are Øystein Karlsen, who is behind successes like Dag og Lilyhammer.",1.45,/wCMevfMdUtd3hBqmx7cF00hI2Sh.jpg,06-10-17,Winnerbäck - A Kind of Life,False,6.4,5,627000,0,Norway,Documentary,tt7271808,2017
