,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
1950,False,/sRQ4cxqhAP3MG5n1MyvfOiD1t6K.jpg,"[35, 18, 10751]",504314,ml,സുഡാനി  from  നൈജീരിയ,"When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences.",2.132,/53yLPoLX8c9nAGLfmnNdF01zrNc.jpg,2018-03-23,Sudani from Nigeria,False,7.2,26
1951,False,/kn9mkIS9Wawan5F18RpHl2lQer3.jpg,[35],504345,es,La tribu,"A cleaner woman with vocational street dancer tries to recover her long-stranded son that she gave for adoption, a former CEO who lost everything, including his memories.",9.919,/iFrqw3uWFHAPHIDBcVKtMLPLKNP.jpg,2018-03-16,The Tribe,False,6.3,187
1952,False,/jLj3Wh3BlS45NJEaHRKwlSvg35e.jpg,[99],504354,fr,"Norilsk, L'étreinte de glace","Norilsk is an impossible kind of place. In this Arctic city, winter lasts for nine months and temperatures plummet to -60°C. Norilsk Nickel, the first worldwide producer of copper and nickel, has dominated life since the city rose from the ashes of the Soviet gulag. More than 180,000 people manage to survive in this closed-off city isolated from the outside world. In looking at their extraordinary daily lives, this film paints a poetic portrait of an extreme city where everyone is looking for a way out.",1.4,/g66APQIud1gNRomtVFFqXBjN1a0.jpg,2018-05-06,Melting Souls,False,7.0,5
1953,False,/6TKLf5HdE8bCkzHvhmL5xctim6g.jpg,"[28, 53, 18, 80]",415193,ta,இமைக்கா நொடிகள்,A CBI officer goes in search of a ruthless serial killer. Things get worse when the murderer targets the former and her family,6.28,/mHkeMrAqW4TnRkeI1Xl8qwuGyPg.jpg,2018-08-30,Imaikkaa Nodigal,False,7.2,53
1954,False,,"[35, 18]",503123,en,Travelling Hearts,"A clown, and a lion tamer, escape from the travelling circus to live a free life in the forest.",0.6,/oLbQs4YLJd7GACLempURIPcOdpI.jpg,2018-02-12,Travelling Hearts,False,0.0,0
1955,False,/vfFQP17z6nDkJtqFKEjNB24pRoG.jpg,"[9648, 18]",503124,en,توافق,A short film about marriage and divorce,1.133,/h74hFlkXnfeVkUawjHsY2fXTpr9.jpg,2018-02-05,Agreement,False,10.0,1
1956,False,/lkIjVl6nOwdBIR4VoQKzLUye2Nc.jpg,[18],503128,no,Now It's Dark,"When Lene seeks out her estranged husband in hope of reconciliation she finds him in bed with a new lover. Shocked, she flees the scene and embarks on a journey through the night that takes her on an existential rollercoaster ride of dreamlike encounters and into some very dark places.",1.096,/lNd8K2ypTZ60Gx27tOJRhLvbw1.jpg,2018-03-02,Now It's Dark,False,6.6,7
1957,False,/zQG3cHYQTmArolURcoodp7WJrlw.jpg,[99],503150,en,Eating Animals,An examination of our dietary choices and the food we put in our bodies.,3.576,/tppzVmguu02QAjXM957XVqKrvgl.jpg,2018-06-15,Eating Animals,False,6.9,19
1958,False,,[35],503165,lt,Aš Žvaigždė,A mockumentary about an over the top pop star who slowly fades out.,1.4,/49jqNrTl21KSm0N6sjxzScHeGVw.jpg,2018-02-02,I Am A Star,False,6.1,5
1959,False,,[16],503168,nl,ZOOks,,0.849,/rXyvmRUr7Mg65WLrWQ7nG5VBidO.jpg,2018-02-04,ZOOks,False,0.0,0
1960,False,/nM3FLwH22VftTKqdNbRqKU5qTXd.jpg,[10749],572679,te,Rachayitha,"Aditya Varma's love for Padmavati makes him want to give her a new life as she is desolated but she starts to behave in a strange manner. What happens next, forms the crux.",0.6,/5pIMAK05CiZgKDAIsJoUckFHWqo.jpg,2018-02-16,Rachayitha,False,0.0,0
1961,False,,[27],572681,en,Underland,Hatter lures 2 girls to his 'Wonderland' for his infamous Tea Party. Little do they know that the party will soon take a dark turn.,0.601,/zHHhuaVqG9jHvTyNVTZqRzFObYm.jpg,2018-07-25,Underland,False,0.0,0
