,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,Budget,Revenue,Country,Genres,imdb_id,year
3756,1117.0,False,/wJLV2ygHhTHG0nRTXlvA6wS8ubL.jpg,"[80, 53, 35]",534780.0,hi,अंधाधुन,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,12.665,/kbqTKqz3amub4GUE5qLEQFFR8Ro.jpg,05-10-18,Andhadhun,False,7.7,369.0,4500000.0,40000000.0,India,Crime,tt8108198,2019.0
3757,1121.0,False,/ct2r3CqnA0KtMfib4AvfBU1W9M2.jpg,"[28, 80, 53]",398175.0,en,Brawl in Cell Block 99,"After working as a drug courier and getting into a brutal shootout with police, a former boxer finds himself at the mercy of his enemies as they force him to instigate violent acts that turn the prison he resides in into a battleground.",12.655,/bfB1J6jsjdGWKjXxKQ5hNd1OyAs.jpg,23-09-17,Brawl in Cell Block 99,False,7.0,1115.0,10000000.0,0.0,United States of America,Action,tt5657856,2019.0
3758,1122.0,False,/vT2rEtt3kK2Vo6v5yXYd2y3dk14.jpg,[28],481203.0,en,All the Devil's Men,"A battle-scarred War on Terror bounty hunter is forced to go to London on a manhunt for a disavowed CIA operative, which leads him into a deadly running battle with a former military comrade and his private army.",12.654,/pBv6fq7q9rNE8munZwUTIb5HbCS.jpg,12-05-18,All the Devil's Men,False,5.9,123.0,0.0,65829.0,United Kingdom,Action,tt6012244,2019.0
3759,1123.0,False,/8s231Ufkl9jF2JVnoZtQUxPXsSl.jpg,"[18, 35]",456929.0,es,Campeones,"A disgraced basketball coach is given the chance to coach Los Amigos, a team of players who are intellectually disabled, and soon realizes they just might have what it takes to make it to the national championships.",12.648,/m5z4Ud6Ya5EY3Eg3OBbVBaDKWK.jpg,06-04-18,Champions,False,7.6,640.0,4920975.0,20121318.0,Spain,Drama,tt6793580,2019.0
3760,1127.0,False,/ifBIpsuutQlul3Mexjw2QdkFXG4.jpg,"[28, 53]",641790.0,en,Trauma Center,"Lt. Wakes is a vengeful police detective determined to solve the murders of his partner and an informant, and joins forces with a witness injured during the shootings. After the killers pursue the witness across the abandoned floor of a hospital, she confirms Wakes's worst fears.",12.615,/8K73wvCTBA3XKgZTtOZWgENUnis.jpg,06-12-19,Trauma Center,False,5.6,324.0,0.0,92968.0,United States of America,Action,tt9625664,2019.0
3761,1128.0,False,/61EpZBNVwXHgJmr0jPKO9qkIWnN.jpg,"[18, 53, 9648]",515741.0,en,Angel of Mine,A woman grieving over the death of her daughter loses grip of reality when she begins to think her girl may still be alive.,12.606,/q8IxjDRqJ7jFtt5Fn0jcXjiRVoF.jpg,15-08-19,Angel of Mine,False,6.3,225.0,0.0,230193.0,Australia,Drama,tt7058080,2019.0
3762,1130.0,False,/n0FzDpOvVhkj3uN7WHXXnAXOKFi.jpg,[18],522039.0,en,The Last Black Man in San Francisco,"Jimmie Fails dreams of reclaiming the Victorian home his grandfather built in the heart of San Francisco. Joined on his quest by his best friend Mont, Jimmie searches for belonging in a rapidly changing city that seems to have left them behind.",12.6,/ow9zjibNrz5TYVZ6cqwmvCR1YX1.jpg,07-06-19,The Last Black Man in San Francisco,False,7.1,236.0,0.0,2975184.0,United States of America,Drama,tt4353250,2019.0
3763,1132.0,False,/ezNebqz4x8EC3RyASJRC7tYppld.jpg,[35],460316.0,es,Hazlo como hombre,"Raúl, Eduardo and Santiago have led a happy and ""straight"" life since their childhood, until, one day, Santiago confesses to them that he is gay.",12.584,/sBGKQRwj21s5dT6FjjU4ostqGaa.jpg,11-08-17,Do It Like An Hombre,False,7.2,116.0,0.0,13610252.0,Mexico,Comedy,tt6046212,2019.0
3764,1133.0,False,/ggVjtqx3t0jcTj9q69Sr36ovqsS.jpg,"[35, 18]",429197.0,en,Vice,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and Defense Secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",12.566,/1gCab6rNv1r6V64cwsU4oEr649Y.jpg,25-12-18,Vice,False,7.1,2902.0,60000000.0,76073488.0,United States of America,Comedy,tt6266538,2019.0
3765,1134.0,False,/fHZUVfvLzM6aQ0qA7HjBlfn1EDW.jpg,"[878, 53, 27, 9648]",457041.0,en,Elizabeth Harvest,"The newly married Elizabeth arrives with her new husband, the scientist Henry, at a magnificent house. He tells her that she can do there anything she pleases, except to enter a certain closed room.",12.563,/oiwY0z17ZqCPVSK1plvL11rSKuK.jpg,10-08-18,Elizabeth Harvest,False,6.2,258.0,0.0,4973.0,United States of America,Science Fiction,tt6852872,2019.0
3766,1140.0,False,/t1Sa20jb2Y1qU4c4zbGBYgbkVFz.jpg,"[28, 18]",434119.0,ko,공조,"When a crime organization from North Korea crosses borders and enters South Korean soil, a South Korean detective must cooperate with a North Korean detective to investigate their whereabouts.",12.512,/gw1iBP09ZaxUgHlvmPpC4Y7dgq6.jpg,18-01-17,Confidential Assignment,False,6.9,76.0,8520000.0,56100000.0,South Korea,Action,tt5606538,2019.0
3767,1141.0,False,/jFDHwsTPrhIbXkPkwJGU3EORmPo.jpg,"[35, 18, 10752]",354287.0,en,War Machine,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.,12.508,/bU2Q2rCH5VFrJNKSyx6wSmQZFsX.jpg,26-05-17,War Machine,False,5.6,960.0,60000000.0,0.0,United States of America,Comedy,tt4758646,2019.0
3768,1142.0,False,/2a0enNwRzuDOv3np3xD3QSPw3xw.jpg,[18],467936.0,en,The Children Act,"In the midst of a marital crisis, a High Court judge must decide if she should order a life-saving blood transfusion for a teen with cancer despite his family's refusal to accept medical treatment for religious reasons.",12.499,/uWwmYzdLReu3Yn4YKuX9idDReaz.jpg,01-08-18,The Children Act,False,6.6,550.0,0.0,17696794.0,United Kingdom,Drama,tt6040662,2019.0
3769,1146.0,False,/AeDS2MKGFy6QcjgWbJBde0Ga6Hd.jpg,"[878, 18]",419704.0,en,Ad Astra,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.",12.484,/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg,17-09-19,Ad Astra,False,6.1,5681.0,87500000.0,132807427.0,Brazil,Science Fiction,tt2935510,2019.0
3770,1147.0,False,/meS8C4fE5RbhZBf754WdQ8MiT9f.jpg,"[35, 9648, 28, 12]",383785.0,zh,功夫瑜伽,"Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India.",12.48,/rL6XM4fsr1cM5mN2flEhQ8jQter.jpg,27-01-17,Kung Fu Yoga,False,5.8,299.0,65000000.0,254212245.0,China,Comedy,tt4217392,2019.0
3771,1149.0,False,/v6eOq707lwWFIG96Rv9sSR6lnnT.jpg,"[9648, 18, 53]",491584.0,ko,버닝,"Deliveryman Jongsu is out on a job when he runs into Haemi, a girl who once lived in his neighborhood. She asks if he'd mind looking after her cat while she's away on a trip to Africa. On her return she introduces to Jongsu an enigmatic young man named Ben, who she met during her trip. And one day Ben tells Jongsu about his most unusual hobby...",12.474,/kXiF80o74fE9gf3Utf9moAI7ar0.jpg,17-05-18,Burning,False,7.4,1258.0,7280000.0,6591038.0,Japan,Mystery,tt7282468,2019.0
3772,1150.0,False,/kECPanxp3faU0Br5csQZuCGMCjV.jpg,"[12, 28, 16]",614587.0,ja,ルパン三世 THE FIRST,"The iconic ""gentleman thief"" Lupin III returns in an action-packed, continent-spanning adventure, as Lupin III and his colorful underworld companions race to uncover the secrets of the mysterious Bresson Diary, before it falls into the hands of a dark cabal that will stop at nothing to resurrect the Third Reich.",12.461,/dnTuIOzW5TOgTIfFz9oGUgC1vO2.jpg,06-12-19,Lupin III: The First,False,7.4,244.0,0.0,7334393.0,Japan,Adventure,tt10621032,2019.0
3773,1151.0,False,/nJOZJ74vOpougsoclgs0fVCHxcs.jpg,"[28, 35]",382597.0,fr,RAID Dingue,"The story of a woman who dreams to join an intervention group in the police department called RAID. Unfortunately, she is rather clumsy and both her family (and soon to be family-in-law) and a veteran of the RAID do not approve. However, Johanna is determined to prove them wrong.",12.46,/2RQoRqtsQ9pZpcg7Hcb5fa5eCNx.jpg,01-02-17,R.A.I.D. Special Unit,False,5.8,822.0,32400000.0,34598750.0,France,Action,tt5736696,2019.0
